$,$,$
Federico,6572,90
Federico,4994,16
Federico,608,1
Federico,7143,4
Federico,4436,1
Federico,5850,1
Federico,2170,31
Federico,5685,5
Federico,2764,221
Federico,4686,1
Federico,6672,1
Federico,7068,15
Federico,6664,7
Federico,6495,6
Federico,2194,51
Federico,2517,96
Federico,2724,21
Federico,5840,3
Federico,4777,129
Federico,572,24
Federico,7017,1
Federico,6844,1
Federico,4867,1
Federico,6666,1
Federico,6047,1
$,$,$
Alex,5876,68
Alex,5319,14
Alex,1870,72
Alex,2816,51
Alex,4871,230
Alex,5589,61
Alex,4159,41
Alex,5010,1
Alex,5513,51
Alex,6641,1
Alex,7179,1
Alex,6219,1
Alex,7139,1
Alex,4887,13
Alex,5603,2
Alex,6046,6
Alex,2766,1
Alex,6632,1
Alex,7128,1
Alex,5792,21
Alex,6875,81
Alex,5514,1
Alex,5637,1
Alex,6646,1
Alex,5820,1
$,$,$
Filippo,5835,20
Filippo,2379,52
Filippo,4431,50
Filippo,5620,37
Filippo,554,11
Filippo,827,50
Filippo,2525,3
Filippo,5844,1
Filippo,2160,35
Filippo,6967,50
Filippo,5688,1
Filippo,6869,15
Filippo,6145,1
Filippo,5022,27
Filippo,2188,12
Filippo,4730,87
Filippo,6462,1
Filippo,2841,37
Filippo,5544,150
Filippo,4807,7
Filippo,632,81
Filippo,4,1
Filippo,4923,1
Filippo,4665,1
Filippo,4423,1
$,$,$
Titta,2814,17
Titta,7070,32
Titta,5791,10
Titta,6814,13
Titta,460,25
Titta,252,2
Titta,4734,5
Titta,5812,8
Titta,4287,31
Titta,6884,35
Titta,2061,18
Titta,6519,1
Titta,5800,100
Titta,6722,1
Titta,2499,5
Titta,2765,32
Titta,2097,210
Titta,6485,23
Titta,4751,20
Titta,309,115
Titta,2788,38
Titta,7133,1
Titta,2528,1
Titta,761,1
Titta,188,1
$,$,$
Francesco,7181,18
Francesco,2167,119
Francesco,5841,40
Francesco,5885,17
Francesco,531,60
Francesco,6226,180
Francesco,5687,1
Francesco,6042,17
Francesco,6125,1
Francesco,5750,5
Francesco,4186,11
Francesco,788,34
Francesco,4317,16
Francesco,6106,17
Francesco,2593,5
Francesco,393,20
Francesco,2077,50
Francesco,6986,1
Francesco,4360,1
Francesco,1933,5
Francesco,779,3
Francesco,4409,2
Francesco,6365,46
Francesco,5559,1
Francesco,2670,1
$,$,$
Jacopo,513,30
Jacopo,4459,16
Jacopo,6908,25
Jacopo,5422,4
Jacopo,4378,11
Jacopo,2531,64
Jacopo,7175,1
Jacopo,4510,171
Jacopo,6966,10
Jacopo,6893,1
Jacopo,2137,40
Jacopo,4463,15
Jacopo,4772,30
Jacopo,6215,20
Jacopo,5995,40
Jacopo,6956,50
Jacopo,2848,1
Jacopo,22,11
Jacopo,2521,25
Jacopo,2120,50
Jacopo,5734,77
Jacopo,133,11
Jacopo,2038,3
Jacopo,4433,6
Jacopo,2606,2
$,$,$
Ravo,254,51
Ravo,7135,4
Ravo,4312,74
Ravo,5318,19
Ravo,7023,11
Ravo,4220,62
Ravo,5761,10
Ravo,6867,1
Ravo,2815,1
Ravo,4896,13
Ravo,2296,32
Ravo,5877,1
Ravo,7008,30
Ravo,5526,22
Ravo,4892,13
Ravo,5833,10
Ravo,6434,186
Ravo,6010,1
Ravo,6151,5
Ravo,5831,12
Ravo,536,52
Ravo,4957,1
Ravo,6252,1
Ravo,4359,20
Ravo,7146,1
$,$,$
Giacomo,5273,18
Giacomo,6435,86
Giacomo,787,20
Giacomo,6398,43
Giacomo,6052,151
Giacomo,5520,32
Giacomo,6629,1
Giacomo,5858,21
Giacomo,5562,53
Giacomo,2428,72
Giacomo,6217,10
Giacomo,4349,7
Giacomo,2529,31
Giacomo,1926,1
Giacomo,5578,1
Giacomo,4401,17
Giacomo,6314,1
Giacomo,5116,1
Giacomo,4461,8
Giacomo,6066,1
Giacomo,5888,4
Giacomo,2423,99
Giacomo,4976,1
Giacomo,4728,25
Giacomo,4199,1
